AUXID,AUXDESC,
00,00 - Top 40 No Extra Spins,
01,01 - Top 40 Extra Spins,
02,02 - Top 40 Extra Spins,
03,03 - Top 40 Extra Spins,
04,04 - Top 40 Extra Spins,
05,05 - Top 40 Extra Spins,
06,06 - Top 40 Extra Spins,
07,07 - Top 40 Extra Spins,
08,08 - Top 40 Extra Spins,
09,09 - Top 40 Extra Spins,
10,10 - Top 40 Extra Spins,
11,11 - Top 40 Extra Spins,
12,12 - Top 40 Extra Spins,
13,13 - Top 40 Extra Spins,
14,14 - Top 40 Extra Spins,
15,15 - Top 40 Extra Spins,
16,16 - Top 40 Extra Spins,
17,17 - Top 40 Extra Spins,
18,18 - Top 40 Extra Spins,
19,19 - Top 40 Extra Spins,
20,20 - Top 40 Extra Spins,
21,21 - Top 40 Extra Spins,
22,22 - Top 40 Extra Spins,
23,23 - Top 40 Extra Spins,
24,24 - Top 40 Extra Spins,
25,25 - Top 40 Extra Spins,
