MSCID,MSCCHART,MSCARTIST,MSCSTATUS,LASTUSERNAME,LASTCHANGEDATE,
301200003329,AAA;AMA;,Lonesome Trio,Too Slow,Administrator,2015.07.01 16:03:55,
301200003330,AAA;AMA;,Connecting Stars,Too Slow,Administrator,2015.07.01 16:08:20,
301200003331,AAA;AMA;,Sonny Knight,No Fit,Administrator,2015.07.01 16:15:04,
301200003332,AAA;AMA;,Charlie Gracie,No Fit,Administrator,2015.07.01 16:17:18,
301200003333,AAA;AMA;,Gann Brewer,Too Country,Administrator,2015.07.01 16:18:40,
301200003334,AAA;,Aaaron Burdett,No Fit,Administrator,2015.07.01 16:57:12,
301200003335,AAA;AMA;,Big Cheese,No Fit,Administrator,2015.07.01 17:06:52,
301200003336,AAA;AMA;,Kaia Kater,No Fit,Administrator,2015.07.01 17:11:06,
301200003337,AAA;AMA;,Dubl handi,No Fit,Administrator,2015.07.01 17:14:31,
301200003338,AAA;AMA;,Blue Water Highway,No Fit,Administrator,2015.07.01 17:17:08,
301200003339,AAA;AMA;,Shane Walker,No Fit,Administrator,2015.07.01 17:19:15,
301200003340,AAA;AMA;,Emmy Lou Harris,No Fit,Administrator,2015.07.01 17:21:56,
301200003341,AAA;AMA;,Karrnes Sawitsky Daniel Koulack,No Fit,Administrator,2015.07.01 17:41:32,
301200003342,AAA;AMA;,Madisen Ward,No Fit,Administrator,2015.07.01 17:48:20,
301200003343,AAA;AMA;,Marlon McClain,NO Fit,Administrator,2015.07.01 17:51:55,
301200003344,AAA;AMA;,Mack and Dub,No Fit,Administrator,2015.07.01 17:54:32,
301200003345,AAA;AMA;,Jessica Lee Wilkes,No Fit,Administrator,2015.07.01 17:57:14,
301200003346,AAA;AMA;,Lee Brennan,No Fit,Administrator,2015.07.01 17:57:29,
301200003347,AAA;AMA;,Watkins Family Hour,No Fit,Administrator,2015.07.01 17:58:32,
301200003348,AAA;AMA;,Delta Rae,No Fit,Administrator,2015.07.01 17:59:23,
301200003349,AAA;AMA;,Jackie Green,No Fit,Administrator,2015.07.01 18:00:56,
301200003350,AAA;AMA;,Scars on 45,Bi Fit,Administrator,2015.07.01 18:06:26,
301200003351,AAA;AMA;,Xavier Rudd,No Fit,Administrator,2015.07.01 18:07:22,
301200003352,AAA;AMA;,Boxed In,No Fit,Administrator,2015.07.01 18:10:47,
301200003353,AAA;AMA;,Feazey Ford,No Fit,Administrator,2015.07.01 18:11:00,
301200003354,AAA;AMA;,joel Rafael,no Fit,Administrator,2015.07.01 18:13:10,
301200003355,AAA;AMA;,Deslondes,No Fit,Administrator,2015.07.01 18:16:54,
301200003356,AAA;AMA;,Kasey Chambers,No Fit,Administrator,2015.07.01 18:18:54,
301200003357,AAA;AMA;,Finders and Youngberg,No Fit,Administrator,2015.07.01 18:19:19,
301200003358,AAA;AMA;,Daniel Romalle,No Fit,Administrator,2015.07.01 20:18:39,
301200003359,AAA;AMA;,Freddy Johnston,No Fit,Administrator,2015.07.01 20:20:13,
301200003383,AAA;AMA;,Runnder Of the Woods,No Fit,Administrator,2015.08.02 09:46:17,
301200003384,AMA;,Sonya Heller,No Fit,Administrator,2015.08.02 09:52:19,
301200003385,AAA;AMA;,Bumper Jacksons,No Fit,Administrator,2015.08.02 09:53:32,
301200003386,AAA;AMA;,Iris Dement,No Fit,Administrator,2015.08.02 09:58:08,
