SCHEDID,SCHEDHOURPART,SCHEDSEQ,SCHEDCATEGORY,SCHEDTYPE,LASTUSERNAME,LASTCHANGEDATE,
SUNDAY,00,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
TUESDAY,08,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
TUESDAY,08,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
TUESDAY,08,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
TUESDAY,08,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
TUESDAY,08,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,00,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,00,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,00,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,00,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,00,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,00,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,00,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,00,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
SUNDAY,00,11,002,REPEAT:003,Administrator,2012.12.08 17:40:43,
SUNDAY,00,12,001,REPEAT:TOH,Administrator,2012.12.08 17:40:20,
SUNDAY,01,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
SUNDAY,01,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,01,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,01,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,01,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,01,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,01,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,01,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,01,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
SUNDAY,01,11,002,REPEAT:003,Administrator,2012.12.08 17:40:43,
SUNDAY,01,12,001,REPEAT:TOH,Administrator,2012.12.08 17:40:20,
SUNDAY,02,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
SUNDAY,02,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,02,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,02,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,02,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,02,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,02,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,02,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,02,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
SUNDAY,02,11,002,REPEAT:003,Administrator,2012.12.08 17:40:43,
SUNDAY,02,12,001,REPEAT:TOH,Administrator,2012.12.08 17:40:20,
SUNDAY,03,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
SUNDAY,03,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,03,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,03,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,03,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,03,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,03,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,03,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,03,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
SUNDAY,03,11,002,REPEAT:003,Administrator,2012.12.08 17:40:43,
SUNDAY,03,12,001,REPEAT:TOH,Administrator,2012.12.08 17:40:20,
SUNDAY,04,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
SUNDAY,04,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,04,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,04,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,04,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,04,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,04,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,04,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,04,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
SUNDAY,04,11,002,REPEAT:003,Administrator,2012.12.08 17:40:43,
SUNDAY,04,12,001,REPEAT:TOH,Administrator,2012.12.08 17:40:20,
TUESDAY,08,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,05,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
SUNDAY,05,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,05,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,05,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,05,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,05,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,05,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,05,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,05,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
SUNDAY,05,11,002,REPEAT:003,Administrator,2012.12.08 17:40:43,
SUNDAY,05,12,001,REPEAT:TOH,Administrator,2012.12.08 17:40:20,
SUNDAY,06,01,901,REPEAT:001,Administrator,2012.11.30 17:11:12,
TUESDAY,08,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,06,02,908,REPEAT:001,Administrator,2012.11.30 17:52:33,
SUNDAY,06,03,002,REPEAT:003,Administrator,2012.11.30 17:53:42,
SUNDAY,06,04,001,REPEAT:002,Administrator,2012.12.02 11:30:34,
SUNDAY,06,05,907,REPEAT:001,Administrator,2012.11.30 17:55:00,
SUNDAY,06,06,002,REPEAT:003,Administrator,2012.11.30 17:55:51,
SUNDAY,06,07,001,REPEAT:002,Administrator,2012.12.02 11:30:56,
SUNDAY,06,08,907,REPEAT:001,Administrator,2012.11.30 17:58:43,
SUNDAY,06,10,117,REPEAT:001,Administrator,2012.12.08 17:39:58,
